Goodreads Quote Id,Author,Book,ISBN,Quote,Tags,Quote Popularity,Order
659997,"Noam Chomsky","","","Do you train for passing tests or do you train for creative inquiry?","education, inspiration, inspirational, learning",245,48
71044,"Noam Chomsky","","","We shouldn't be looking for heroes, we should be looking for good ideas.","",2809,49
10112654,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse","1529105102","What is the bravest thing you've ever said? asked the boy.<br/>'Help,' said the horse.<br/>'Asking for help isn't giving up,' said the horse.  'It's refusing to give up.","",466,50
10062108,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse","1529105102","What do you think is the biggest waste of time?""<br/>""Comparing yourself to others,"" said the mole.","",323,51
10062100,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse","1529105102","What do you want to be when you grow up?""<br/><br/>""Kind,"" said the boy.","",394,52
10154527,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse","1529105102","Do you have any other advice?"" asked the boy.<br/><br/>""Don't measure how valuable you are by the way you are treated,"" said the horse.","",249,53
10062112,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse","1529105102","We often wait for kindness...but being kind to yourself can start now.","",184,54
10062141,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse","1529105102","Always remember you matter, you're important and you are loved, and you bring to this world things no one else can.","",198,55
10828042,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse","1529105102","What's your best discovery?"" asked the mole.<br/><br/>""That I'm enough as I am,"" said the boy.","enough",62,56
10187494,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse","1529105102","So you know all about me?' asked the boy.<br/>'Yes.' said the horse. <br/>'And you still love me?'<br/>'We love you all the more.","love-courage-friendship-home",60,57
10299943,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse / The Art of Happiness","9123946342","When have you been at your strongest? asked the boy.<br/><br/>When I have dared to show my weakness.","",21,58
11199782,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse","1529105102","To be honest, I often feel I have nothing interesting to say,"" said the fox.<br/><br/>""Being honest is always interesting,"" said the horse.","",48,59
11138942,"Charlie Mackesy","The Boy, the Mole, the Fox and the Horse","1529105102","Sometimes I want to say I love you all,"" said the mole, ""but I find it difficult.""<br/>""Do you?"" said the boy.<br/>""Yes, so I say something like I'm glad we are all here.""<br/>""Ok,"" said the boy.<br/>""I'm glad we are all here.""<br/>""We are so glad you are here, too.","",44,60
438307,"Adolf Hitler","Mein Kampf","0395083621","Instruction in world history in the so-called high schools is even today in a very sorry condition. Few teachers understand that the study of history can never be to learn historical dates and events by heart and recite them by rote; that what matters is not whether the child knows exactly when this battle or that was fought, when a general was born, or even when a monarch (usually a very insignificant one) came into the crown of his forefathers. No, by the living God, this is very unimportant. To 'learn' history means to seek and find the forces which are the causes leading to those effects which we subsequently perceive as historical events.","",171,61
526167,"Charles de Gaulle","","","Patriotism is when love of your own people comes first; nationalism, when hate for people other than your own comes first.","",45,62
17103,"Dwight David Eisenhower","","","The supreme quality for leadership is unquestionably integrity. Without it, no real success is possible, no matter whether it is on a section gang, a football field, in an army, or in an office.","office-leadership",102,63
2,"Frank Herbert","Dune (Dune #1)","0340839937","I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain.","bene-gesserit, fear, litany-against-fear, motivational, scifi",16841,64
30410,"Isaac Newton","","","I do not know what I may appear to the world, but to myself I seem to have been only like a boy playing on the sea-shore, and diverting myself in now and then finding a smoother pebble or a prettier shell than ordinary, whilst the great ocean of truth lay all undiscovered before me.","science, truth",782,65
3736,"Oscar Wilde","","","Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.","truth",7143,66
473903,"John Fowles","The Collector","","I hate the uneducated and the ignorant. I hate the pompous and the phoney. I hate the jealous and the resentful. I hate the crabbed and mean and the petty. I hate all ordinary dull little people who aren't ashamed of being dull and little.","ignorant, phoney, resentful, uneducated",173,67
20604,"Albert Einstein","","","The important thing is not to stop questioning.  Curiosity has its own reason for existence.  One cannot help but be in awe when he contemplates the mysteries of eternity, of life, of the marvelous structure of reality.  It is enough if one tries merely to comprehend a little of this mystery each day.<br/><br/>—""Old Man's Advice to Youth: 'Never Lose a Holy Curiosity.'"" <i>LIFE Magazine</i> (2 May 1955) p. 64","1955, curiosity, mystery",6829,68
2432246,"Charles Darwin","","","It is not the strongest of the species that survives,<br/>not the most intelligent that survives.<br/>It is the one that is the most adaptable to change.","life",262,69
1399242,"Nikola Tesla","","","Its not the love you make. It's the love you give.","",107,70
52939,"Viktor E. Frankl","Man's Search for Meaning","080701429X","When we are no longer able to change a situation, we are challenged to change ourselves.","motivation",4501,71
315385,"Viktor E. Frankl","Man's Search for Meaning","080701429X","Those who have a 'why' to live, can bear with almost any 'how'.","nietzsche",3009,72
67974,"Viktor E. Frankl","Man's Search for Meaning","080701429X","But there was no need to be ashamed of tears, for tears bore witness that a man had the greatest of courage, the courage to suffer.","",1925,73
51356,"Viktor E. Frankl","Man's Search for Meaning","080701429X","Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way.","inspirational, motivational",4824,74
460508,"Viktor Emil Frankl","Man's Search for Meaning","080701429X","No man should judge unless he asks himself in absolute honesty whether in a similar situation he might not have done the same.","",1057,75
21406,"Viktor E. Frankl","Man's Search for Meaning","080701429X","So live as if you were living already for the second time and as if you had acted the first time as wrongly as you are about to act now!","",1178,76
62900,"Victor Frankl","","","Life is never made unbearable by circumstances, but only by lack of meaning and purpose.","inspirational-quotes, overcoming-adversity-quotes, philosophy-of-life",680,77
124612,"Viktor E. Frankl","Man's Search for Meaning","080701429X","Love goes very far beyond the physical person of the beloved. It finds its deepest meaning in his spiritual being, his inner self. Whether or not he is actually present, whether or not he is still alive at all, ceases somehow to be of importance.","love, spirituality, transcendence",514,78
32120,"Victor Frankl","","","Forces beyond your control can take away everything you possess except one thing, your freedom to choose how you will respond to the situation.","",463,79
40139,"Viktor E. Frankl","","","We who lived in concentration camps can remember the men who walked through the huts comforting others, giving away their last piece of bread. They may have been few in number, but they offer sufficient proof that everything can be taken from a man but one thing: the last of the human freedoms -- to choose one's attitude in any given set of circumstances, to choose one's own way.","attitude",437,80
19977,"Anne Frank","The Diary of a Young Girl","","It's really a wonder that I haven't dropped all my ideals, because they seem so absurd and impossible to carry out. Yet I keep them, because in spite of everything, I still believe that people are really good at heart.","hope, human-nature",9601,81
676,"Anne Frank","Anne Frank's Tales from the Secret Annex: A Collection of Her Short Stories, Fables, and Lesser-Known Writings","0553586386","How wonderful it is that nobody need wait a single moment before starting to improve the world.","activism, life, optimism, philosophy, world",13391,82
57392,"Anne Frank","The Diary of a Young Girl","","Whoever is happy will make others happy.","",1428,83
21220,"Anne Frank","The Diary of a Young Girl","0141032006","Women should be respected as well! Generally speaking, men are held in great esteem in all parts of the world, so why shouldn't women have their share? Soldiers and war heroes are honored and commemorated, explorers are granted immortal fame, martyrs are revered, but how many people look upon women too as soldiers?...Women, who struggle and suffer pain to ensure the continuation of the human race, make much tougher and more courageous soldiers than all those big-mouthed freedom-fighting heroes put together!","insightful",909,84
233865,"Alan Wilson Watts","The Essential Alan Watts","0890874034","Hospitals should be arranged in such a way as to make being sick an interesting experience.  One learns a great deal sometimes from being sick.  ","medicine",82,85
183449,"Warren Buffett","","","Price is what you pay. Value is what you get.","business",558,86
577549,"Warren Buffett","","","Honesty is a very expensive gift, Don't expect it from cheap people.","honesty",534,87
76790,"Warren Buffett","","","Somebody once said that in looking for people to hire, you look for three qualities: integrity, intelligence, and energy. And if you don’t have the first, the other two will kill you. You think about it; it’s true. If you hire somebody without [integrity], you really want them to be dumb and lazy.","employees, integrity, morality",499,88
432412,"Warren Buffett","","","I insist on a lot of time being spent, almost every day, to just sit and think. That is very uncommon in American business. I read and think. So I do more reading and thinking, and make less impulse decisions than most people in business. I do it because I like this kind of life.","business, habits, hare, inspirational-life, reading, think, thinking, tortoise, warren-buffet",441,89
276808,"Warren Buffett","","","If you’re in the luckiest one per cent of humanity, you owe it to the rest of humanity to think about the other 99 per cent.","charity, finance, helping-others, inspiration, noblesse-oblige, success",314,90
929660,"Warren Buffett","","","The difference between successful people and really successful people is that really successful people say no to almost everything.","assertiveness, discernment, mission, purpose",233,91
148174,"Warren Buffett","","","It takes 20 years to build a reputation and five minuted to ruin it. If you think about that you'll do things differently.","",187,92
310173,"Charles T. Munger","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger","157864366X","In my whole life, I have known no wise people (over a broad subject matter area) who didn't read all the time -- none, zero. You'd be amazed at how much Warren reads--and at how much I read. My children laugh at me. They think I'm a book with a couple of legs sticking out.","reading-books, reading-habits, wisdom-of-winners",376,93
1401059,"Charles T. Munger","Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger","157864366X","How to find a good spouse?<br/>-the best single way is to deserve a good spouse.","love, married-life, spouse",158,94
433549,"George Vaillant","","","It is all too common for caterpillars to become butterflies and then to maintain that in their youth they had been little butterflies. Maturation makes liars of us all.","maturity, memory, psychology",27,95
485369,"George Vaillant","","","The only thing that really matters in life are your relationships to other people.","2009",18,96
1141120,"George E. Vaillant","Adaptation to Life","0674072154","Mentally healthy individuals should be in touch with their own identity and their own feelings; they should be oriented toward the future and over time they should be fruitfully invested in life. Their psyches should be integrated and provide them a resistance to stress. They should possess autonomy and recognize what suits their needs; they should perceive reality without distortion and yet possess empathy. They should be masters of their environment - able to work, to love, and to play, and to be efficient in problem-solving.","",9,97
7428057,"George E. Vaillant","Triumphs of Experience: The Men of the Harvard Grant Study","0674071808","Children who fail to learn basic love and trust at home are handicapped later in mastering the assertiveness, initiative, and autonomy that are the foundation of successful adulthood.","",7,98
11038307,"Charlie Munger","","","Three rules for a career: Don't sell anything you wouldn't buy yourself. Don't work for anyone you don't respect and admire. Work only with people you enjoy.","",2,99
255860,"Friedrich August von Hayek","","","I was quite depressed two weeks ago when I spent an afternoon at Brentano's Bookshop in New York and was looking at the kind of books most people read. Once you see that you lose all hope.","economics, politics",57,100
578626,"Milton Friedman","","","Government has three primary functions. It should provide for military defense of the nation. It should enforce contracts between individuals. It should protect citizens from crimes against themselves or their property. When government-- in pursuit of good intentions tries to rearrange the economy, legislate morality, or help special interests, the cost come in inefficiency, lack of motivation, and loss of freedom. Government should be a referee, not an active player.","",187,101
330388,"Milton Friedman","","","Many people want the government to protect the consumer. A much more urgent problem is to protect the consumer from the government.","",114,102
7584776,"Satoshi Kanazawa ","","","Smart people still enjoy wide open spaces, much more even than their less bright neighbors, but when they hang with friends they're less happy. One theory as to why is that they feel like they're wasting time.","science",4,103
23975,"Betty Friedan","The Feminine Mystique","0393322572","Each suburban wife struggles with it alone.  As she made the beds, shopped for groceries, matched slipcover material, ate peanut butter sandwiches with her children, chauffeured Cub Scouts and Brownies, lay beside her husband at night- she was afraid to ask even of herself the silent question-- 'Is this all?","existentialism, feminism, housekeeping, inspirational, marriage, parenting, purpose",592,104
1069137,"George E. Vaillant","Adaptation to Life","0674072154","The reliable presence of people who love us facilitates our perception and toleration of painful reality and enriches our lives.","",5,105
1133916,"George E. Vaillant","Adaptation to Life","0674072154","As Joseph Conrad said, we need to be taught when young to hope, to love, to put our trust in life.","",5,106
6572232,"George E. Vaillant","Aging Well: Surprising Guideposts to a Happier Life from the Landmark Study of Adult Development","","Contrary to all expectations, I seem to grow happier as I grow older. I think that America has been sold on the theory that youth is marvelous but old age is a terror. On the contrary, it's taken me sixty years to learn how to live reasonably well, to do my work and cope with my inadequacies. For me youth was a woeful time—sick parents, war, relative poverty, the miseries of learning a profession, a mistake of a marriage, self-doubts, booze and blundering around. Old age is knowing what I'm doing, the respect of others, a relatively sane financial base, a loving wife and the realization that what I can't beat I can endure.","",3,107
1314520,"George E. Vaillant","Spiritual Evolution: A Scientific Defense of Faith","0767930045","The first difference is that religion refers to the interpersonal and institutional aspects of religiosity/spirituality that are derived from engaging with a formal religious group’s doctrines, values, traditions, and co-members. By contrast, spirituality refers to the psychological experiences of religiosity/spirituality that relate to an individual’s sense of connection with something transcendent (be it a defined deity, truth, beauty, or anything else considered to be greater than self) and are manifested by the emotions of awe, gratitude, love, compassion, and forgiveness.","",3,108
8164354,"George E. Vaillant","Triumphs of Experience: The Men of the Harvard Grant Study","0674071808","And in the meantime, they give those of us who are curious about our own lives, and the lives of those we cherish, plenty to think about. It reminds me of my first day of medical school. “Boys,” the Dean told us (this was in 1955), “the bad news is that half of what we teach you will in time be proven wrong; and worse yet, we don’t know which half.” Still, half a century later, our class has done pretty well by its patients. So I maintain hope that the old-fashioned Grant Study, twentieth-century artifact though it be, can offer some fresh wisdom and some real inspiration to twenty-first-century readers.","",2,109
6569381,"George E. Vaillant","Aging Well: Surprising Guideposts to a Happier Life from the Landmark Study of Adult Development","","To the same question a 78-year-old Study member replied, “All the many plans for the day. I love life and all I do. I love the out of doors…. It is a joy to be alive and living with my best friend.” He was referring to his wife of fifty years with whom his sex life was still “very satisfying.","",2,110
8164609,"George E. Vaillant","Triumphs of Experience: The Men of the Harvard Grant Study","0674071808","As in the inflammations and fevers of physical illness, what looks like trouble may be the very process by which healing takes place. As we become better able to endure life’s slings and arrows, our coping mechanisms mature, and vice versa.","",1,111
1211,"Harper Lee","To Kill a Mockingbird","","It was times like these when I thought my father, who hated guns and had never been to any wars, was the bravest man who ever lived.","bravery",1903,112
90941,"Hillary Rodham Clinton","","","Probably my worst quality is that I get very passionate about what I think is right. ","",70,113
7293106,"Hillary Rodham Clinton","","","Human rights are women’s rights, and women’s rights are human rights. Let us not forget that among those rights are the right to speak freely--and the right to be heard.","feminism, politics, women-s-rights",27,114
34850,"Abraham Lincoln","","","I am not bound to win, but I am bound to be true. I am not bound to <br/>succeed, but I am bound to live up to what light I have.","honesty, honor, integrity, moral-courage, obligation, truth",1106,115
140440,"Abraham Lincoln","","","All I have learned, I learned from books.","books, education, lifelong-learning, lincoln, reading, self-education",544,116
47436,"Noam Chomsky","","","The whole educational and professional training system is a very elaborate filter, which just weeds out people who are too independent, and who think for themselves, and who don't know how to be submissive, and so on -- because they're dysfunctional to the institutions.","education, education-system, instituions",1542,117
632831,"John Maynard Keynes","","","The political problem of mankind is to combine three things: economic efficiency, social justice and individual liberty.","individuality, wisdom",92,118
50359,"John Maynard Keynes","","","Ideas shape the course of history.","",46,119
546131,"Mikhail S. Gorbachev","","","Peace is not unity in similarity but unity in diversity, in the comparison and conciliation of differences.","",17,120
95682,"Harry S. Truman","","","Not all readers are leaders, but all leaders are readers.","",459,121
73812,"Harry Truman","","","In reading the lives of great men, I found that the first victory they won was over themselves... self-discipline with all of them came first.","",52,122
13185,"Harry S. Truman","","","Once a decision was made, I didn't worry about it afterward...","deciding, decisions",50,123
165461,"Harry S. Truman","","","America was not built on fear. America was built on courage, on imagination, and unbeatable determination to do the job at hand.","",50,124
17104,"Harry S. Truman","","","I come to the office each morning and stay for long hours doing what has to be done to the best of my ability. And when you've done the best you can, you can't do any better.","office",21,125
368727,"Charles Darwin","","","In the long history of humankind (and animal kind, too) those who learned to collaborate and improvise most effectively have prevailed.","",128,126
476827,"Warren Buffett","","","No matter how great the talent or efforts, some things just take time. You can't produce a baby in one month by getting nine women pregnant.","",225,127
380769,"Warren Buffett","","","There comes a time when you ought to start doing what you want. Take a job that you love. You will jump out of bed in the morning. I think you are out of your mind if you keep taking jobs that you don't like because you think it will look good on your resume. Isn't that a little like saving up sex for your old age?","",198,128
332831,"Warren Buffett","","","It’s better to hang out with people better than you. Pick out associates whose behavior is better than yours and you’ll drift in that direction.","",173,129
587506,"Warren Buffett","","","When I was sixteen, I had just two things on my mind - girls and cars. I wasn't very good with girls. So I thought about cars. I thought about girls, too, but I had more luck with cars. <br/>Let's say that when I turned sixteen, a genie had appeared to me. And that genie said, 'Warren, I'm going to give you the car of your choice. It'll be here tomorrow morning with a big bow tied on it. Brand-new. And it's all yours.'<br/>Having heard all the genie stories, I would say, 'What's the catch?' And the genie would answer, 'There's only one catch. This is the last car you're ever going to ge tin your life. So it's got to last a lifetime.'<br/>If that had happened, I would have picked out that car. But, can you imagine, knowing it had to last a lifetime, what I would do with it?<br/>I would read the manual about five times. I would always keep it garaged. If there was the least little dent or scratch, I'd have it fixed right away because I wouldn't want it rusting. I would baby that car, because it would have to last a lifetime.<br/>That's exactly the position you are in concerning your mind and body. You only get one mind and one body. And it's got to last a lifetime. Now, it's very easy to let them ride for many years. But if you don't take care of that mind and that body, they'll be a wreck forty years later, just life the car would be.<br/>It's what you do right now, today, that determines how your mind and body will operate ten, twenty, and thirty years from now.","",140,130
147016,"Warren Buffett","","","You only have to do a very few things right in your life so long as you don't do too many things wrong.","focus, success",146,131
